,asian_man,asian_woman,black_man,black_woman,white_man,white_woman,indian_man,indian_woman
natural_makeup,"(nan, 0.2222222222222222, 0, 27)","(nan, 0, 0, 27)","(1.0, 0.875, -62.508311453968844, 7)","(nan, 0.037037037037037035, 0, 27)","(1.0, 0.07692307692307693, 122.5262954796249, 5)","(nan, 0.18518518518518517, 0, 27)","(1.0, 0.11538461538461539, -12.284342948109469, 5)","(nan, 0.037037037037037035, 0, 27)"
glasses,"(nan, 0.2222222222222222, 0, 36)","(1.0, 0.34285714285714286, 8.212376412242094, 5)","(1.0, 0.3548387096774194, 12.577565010874906, 9)","(1.0, 0.0, 212.72974472889248, 3)","(1.0, 0.3, 70.5350845421249, 6)","(1.0, 0.5806451612903226, -19.711924735218844, 6)","(1.0, 0.6857142857142857, -62.99015349498447, 5)","(1.0, 0.2647058823529412, -2.3429214393204063, 7)"
sunglasses,"(nan, 0.2222222222222222, 0, 36)","(1.0, 0.34285714285714286, 8.212376412242094, 5)","(1.0, 0.3548387096774194, 12.577565010874906, 9)","(1.0, 0.0, 212.72974472889248, 3)","(1.0, 0.3, 70.5350845421249, 6)","(1.0, 0.5806451612903226, -19.711924735218844, 6)","(1.0, 0.6857142857142857, -62.99015349498447, 5)","(1.0, 0.2647058823529412, -2.3429214393204063, 7)"
young,"(1.0, 0.0, 106.83638459095303, 3)","(1.0, 0.058823529411764705, -20.50548857799228, 4)","(nan, 0.16666666666666666, 0, 18)","(nan, 0.05555555555555555, 0, 18)","(1.0, 0.375, -26.82218474498447, 7)","(1.0, 0.375, 0.9122818077499062, 5)","(1.0, 0.4375, -45.47056120982822, 7)","(1.0, 0.0, 99.75757294544522, 3)"
mustache,"(nan, 0.1111111111111111, 0, 45)","(1.0, 0.0, 207.7612331474716, 4)","(1.0, 0.7380952380952381, -53.43375701060947, 8)","(1.0, 0.39285714285714285, 114.61902314075772, 14)","(1.0, 0.05263157894736842, 140.3343475426132, 8)","(1.0, 0.11538461538461539, 209.43145924457852, 11)","(1.0, 0.5116279069767442, -67.83118743053134, 7)","(1.0, 0.3870967741935484, 2.110951241343656, 14)"
heavy_makeup,"(nan, 0.2222222222222222, 0, 27)","(nan, 0, 0, 27)","(1.0, 0.875, -62.508311453968844, 7)","(nan, 0.037037037037037035, 0, 27)","(1.0, 0.07692307692307693, 122.5262954796249, 5)","(nan, 0.18518518518518517, 0, 27)","(1.0, 0.11538461538461539, -12.284342948109469, 5)","(nan, 0.037037037037037035, 0, 27)"
shoulder_length_hair,"(1.0, 0.7317073170731707, -71.53092497935947, 8)","(nan, 0.08888888888888889, 0, 45)","(1.0, 0.045454545454545456, 140.6438949669296, 5)","(1.0, 0.3333333333333333, -28.661021414906344, 6)","(1.0, 0.21621621621621623, 43.85535126575772, 8)","(1.0, 0.4, -29.12082976451572, 16)","(1.0, 0.5641025641025641, -60.99051970592197, 12)","(nan, 0.17777777777777778, 0, 45)"
scarf,"(nan, 0.2222222222222222, 0, 36)","(1.0, 0.34285714285714286, 8.212376412242094, 5)","(1.0, 0.3548387096774194, 12.577565010874906, 9)","(1.0, 0.0, 212.72974472889248, 3)","(1.0, 0.3, 70.5350845421249, 6)","(1.0, 0.5806451612903226, -19.711924735218844, 6)","(1.0, 0.6857142857142857, -62.99015349498447, 5)","(1.0, 0.2647058823529412, -2.3429214393204063, 7)"
pigtails,"(1.0, 0.7317073170731707, -71.53092497935947, 8)","(nan, 0.08888888888888889, 0, 45)","(1.0, 0.045454545454545456, 140.6438949669296, 5)","(1.0, 0.3333333333333333, -28.661021414906344, 6)","(1.0, 0.21621621621621623, 43.85535126575772, 8)","(1.0, 0.4, -29.12082976451572, 16)","(1.0, 0.5641025641025641, -60.99051970592197, 12)","(nan, 0.17777777777777778, 0, 45)"
smile,"(nan, 0, 0, 9)","(nan, 0, 0, 9)","(nan, 0.1111111111111111, 0, 9)","(nan, 0, 0, 9)","(nan, 0, 0, 9)","(1.0, 0.0, 219.69385605701748, 4)","(1.0, 0.375, -59.39860076060947, 5)","(nan, 0.1111111111111111, 0, 9)"
